benchmark,scale,mode,selected_mode,workers,task_count,warm_runtime_seconds,cold_start_seconds,total_runtime_seconds,total_runtime_iqr_seconds,cpu_mean_percent,parallel_overhead_core_seconds,parallel_overhead_ratio,warm_speedup,total_speedup,first_use_total_runtime_seconds,first_use_speedup,first_use_parallel_overhead_ratio,correct,input_serialized_bytes,input_serialization_seconds,output_serialized_bytes,output_serialization_seconds,serialization_to_runtime_ratio
prime_count,large,serial,serial,1,1,0.41543731999990996,0.0,0.41543731999990996,0.0024901930046326015,102.18267566813606,0.0,0.0,1.0,1.0,0.41543731999990996,1.0,0.0,True,0,0.0,0,0.0,0.0
prime_count,large,naive,naive,4,32,0.11924107600134448,0.0,0.11924107600134448,0.008927556998969521,408.5090304772636,0.061526984005467966,0.14810172568386804,3.484011834942061,3.484011834942061,3.1205159980017925,0.13313096945054384,29.045601083720342,True,864,1.8030001228908077e-05,576,1.2016000255243853e-05,0.00025534826421703087
prime_count,large,optimized,optimized,4,4,0.12014952200115658,0.0,0.12014952200115658,0.00340589900224586,372.75776319026,0.06516076800471637,0.15684861438238262,3.4576693529909415,3.4576693529909415,3.1214244440016046,0.13309222358345074,29.054347972418856,True,448,1.3525997928809375e-05,160,5.633999535348266e-06,0.00015946794581482565
mandelbrot,large,serial,serial,1,1,0.14892851900003734,0.0,0.14892851900003734,0.007825581000361126,55.2280664783277,0.0,0.0,1.0,1.0,0.14892851900003734,1.0,0.0,True,0,0.0,0,0.0,0.0
mandelbrot,large,naive,naive,4,96,0.0700013889982074,0.0,0.0700013889982074,0.008283849001600174,412.9298115307133,0.13107703699279227,0.8801338915668624,2.1275080556451686,2.1275080556451686,3.0712763109986554,0.04849075886357219,81.48994434700275,True,2016,3.292299879831262e-05,165792,0.0005199840015848167,0.007844330060895957
mandelbrot,large,optimized,optimized,4,32,0.056818521003151545,0.0,0.056818521003151545,0.005238396999629913,368.71041311469946,0.07834556501256884,0.52606153299993,2.621126287179787,2.621126287179787,3.0580934430035995,0.04869979344181277,81.13587198843581,True,1088,2.081400089082308e-05,159104,0.00029198600168456323,0.005456319446171161
tiny_tasks,large,serial,serial,1,1,0.1282493870021426,0.0,0.1282493870021426,0.009890639001241652,101.987959829853,0.0,0.0,1.0,1.0,0.1282493870021426,1.0,0.0,True,0,0.0,0,0.0,0.0
tiny_tasks,large,naive,naive,4,2000,0.507761319000565,0.0,0.507761319000565,0.019880937001289567,457.06019687058716,1.9027958890001173,14.836686033971672,0.25257809565836564,0.25257809565836564,3.509036241001013,0.036548322158552936,108.44414856165788,True,35744,0.00047153800187516026,40000,0.0005361479998100549,0.0020069902146236268
tiny_tasks,large,optimized,optimized,4,4,0.041222162999474676,0.0,0.041222162999474676,0.005129711000336101,371.36337290416475,0.03663926499575609,0.2856876422742198,3.1111755829934733,3.1111755829934733,3.0424970849999227,0.042152673747638404,93.89315016996044,True,5808,1.9793002138612792e-05,10064,2.4583001504652202e-05,0.0010765083735133091
word_count,large,serial,serial,1,1,0.025884378999762703,0.0,0.025884378999762703,0.0014708719972986728,98.20994556341795,0.0,0.0,1.0,1.0,0.025884378999762703,1.0,0.0,True,0,0.0,0,0.0,0.0
word_count,large,naive,naive,4,32,0.01847040500069852,0.0,0.01847040500069852,0.0006319750027614646,443.3112909523452,0.04799724100303138,1.8542937036840403,1.401397478765831,1.401397478765831,3.0197453270011465,0.008571709265783682,465.6513849188857,True,2753213,0.0001898889968288131,5280,4.536999767879024e-05,0.012963982146249609
word_count,large,optimized,optimized,4,4,0.01750636499855318,0.0,0.01750636499855318,0.0013991570012876764,331.6319363358131,0.04414108099445002,1.705317365151186,1.4785695946532547,1.4785695946532547,3.018781286999001,0.008574446618984646,465.50240858035284,True,2753049,0.00044060499931219965,4864,3.976600055466406e-05,0.028082700026072476
monte_carlo_pi,large,serial,serial,1,1,0.14699590999953216,0.0,0.14699590999953216,0.010645083002600586,99.83323247469495,0.0,0.0,1.0,1.0,0.14699590999953216,1.0,0.0,True,0,0.0,0,0.0,0.0
monte_carlo_pi,large,naive,naive,4,16,0.04839692499808734,0.0,0.04839692499808734,0.0024672829968039878,427.8728659272071,0.04659178999281721,0.31695977114577883,3.0372985474870866,3.0372985474870866,3.0496718469985353,0.04820056628197701,81.98657689205751,True,317,1.1619998986134306e-05,432,1.1569001799216494e-05,0.0004866837965428004
monte_carlo_pi,large,optimized,optimized,4,4,0.04710530100055621,0.0,0.04710530100055621,0.0020275469978514593,386.1072474063472,0.04142529400269268,0.2818125620149875,3.120581057274137,3.120581057274137,3.048380223001004,0.048220989261904074,81.95142968292672,True,141,1.1062002158723772e-05,256,1.0433999705128372e-05,0.00045769798152381884
pairwise_distance,large,serial,serial,1,1,0.03195843799767317,0.0,0.03195843799767317,0.0024390610051341355,101.85343116552376,0.0,0.0,1.0,1.0,0.03195843799767317,1.0,0.0,True,0,0.0,0,0.0,0.0
pairwise_distance,large,naive,naive,4,16,0.03934961300183204,0.0,0.03934961300183204,0.0033126060043286998,499.6452901662634,0.125440014009655,3.9250984049592166,0.8121665134593636,0.8121665134593636,3.04062453500228,0.010510484813163296,379.5723590400334,True,3476144,0.0003475400008028373,104432,0.0001157120022980962,0.011455309602460148
pairwise_distance,large,optimized,optimized,4,4,0.027757378997193882,0.0,0.027757378997193882,0.0033440809966123197,401.68122234384634,0.07907107799110236,2.4741846894037614,1.1513492682757978,1.1513492682757978,3.029032300997642,0.010550708880571311,378.1214453244779,True,3327132,0.00040111600173986517,103176,9.348300227429718e-05,0.017669175537488573
load_imbalance,large,serial,serial,1,1,0.19766803400125355,0.0,0.19766803400125355,0.004960885999025777,94.99153136800983,0.0,0.0,1.0,1.0,0.19766803400125355,1.0,0.0,True,0,0.0,0,0.0,0.0
load_imbalance,large,naive,naive,4,64,0.07376208400091855,0.0,0.07376208400091855,0.012028957997245016,436.5722388434732,0.09738030200242065,0.49264567482774224,2.6798054404047478,2.6798054404047478,3.0750370060013665,0.06428151388600417,61.22628805994733,True,1440,2.5404002371942624e-05,1344,2.4795001081656665e-05,0.0006805529444229662
load_imbalance,large,optimized,optimized,4,32,0.06671388700124226,0.0,0.06671388700124226,0.0055860109969216865,390.2216098863329,0.06918751400371548,0.3500187288920813,2.962921857597247,2.962921857597247,3.0679888090016902,0.06442919003527064,61.08366111401167,True,992,1.9360999431228265e-05,896,1.7428999854018912e-05,0.0005451488902614367
large_payload,large,serial,serial,1,1,0.011758120999729726,0.0,0.011758120999729726,0.0013859639984730165,85.45474855202144,0.0,0.0,1.0,1.0,0.011758120999729726,1.0,0.0,True,0,0.0,0,0.0,0.0
large_payload,large,naive,naive,4,32,0.025784860998101067,0.0,0.025784860998101067,0.00020280399985495023,610.351665086791,0.09138132299267454,7.771762426562462,0.456008702183644,0.456008702183644,3.027059782998549,0.0038843372257690765,1028.7767077131216,True,4194688,0.00024692699662409723,640,1.3310000213095918e-05,0.010120822291394391
large_payload,large,optimized,optimized,4,4,0.010680220999347512,0.0,0.010680220999347512,0.0011676930007524788,328.11234148560004,0.03096276299766032,2.6333087572726996,1.100924877907308,1.100924877907308,3.0119551429997955,0.0039038167706638136,1023.6382540438319,True,4194524,0.0004994510018150322,224,6.514997949125245e-06,0.04737411330674417
