benchmark,mode,runs,all_correct,selected_modes,warm_runtime_mean_seconds,warm_runtime_stdev_seconds,warm_speedup_mean,warm_speedup_stdev,first_use_speedup_mean,first_use_speedup_stdev,task_count_mean,cpu_mean_percent,serialization_ratio_mean,parallel_overhead_ratio_mean,first_use_parallel_overhead_ratio_mean
large_payload,naive,3,True,naive,0.025916347665770445,0.0010578664915778305,0.42406695249361626,0.034820346555882876,0.0036695903068166224,0.0004895394331326604,32.0,608.7711659405919,0.009594994227291537,8.475925191855852,1103.1525239457044
large_payload,optimized,3,True,optimized,0.010403033999561254,0.0003166567150747386,1.0560877626488414,0.08405647188271546,0.003688789969287482,0.0004934095864563703,4.0,364.98654973574736,0.053104858732945036,2.804398716451042,1097.4809974702996
large_payload,serial,3,True,serial,0.011002994667554352,0.001177062188956989,1.0,0.0,1.0,0.0,1.0,100.83752612799988,0.0,0.0,0.0
load_imbalance,naive,3,True,naive,0.07321569433406694,0.0028882556479933753,2.6799828962107832,0.051317806782657654,0.06429959883517637,0.003484529108313216,64.0,417.65635775624907,0.0006875605896565708,0.49291178182008905,61.33088910747558
load_imbalance,optimized,3,True,optimized,0.06681513900063389,0.003420470149092068,2.9383896186760965,0.09385113221319817,0.06443414962659819,0.003483770576109617,32.0,404.02135789156847,0.0005757589243025408,0.3622274335601207,61.20020475921561
load_imbalance,serial,3,True,serial,0.19611928299976475,0.004117489117145635,1.0,0.0,1.0,0.0,1.0,89.4520728551938,0.0,0.0,0.0
mandelbrot,naive,3,True,naive,0.06662763466495865,0.0029671256034142393,2.0708751131114176,0.04960690015211579,0.04532924854492118,0.003058943035078165,96.0,418.19323278412116,0.006551704382347208,0.9322806982485196,87.51044731216253
mandelbrot,optimized,3,True,optimized,0.04978102700139667,0.006098787096517412,2.7852353392750557,0.14453521812108394,0.04557946712224469,0.003030356374470866,21.333333333333332,388.10689564086437,0.005032250049863383,0.43879579422664566,87.01696240814067
mandelbrot,serial,3,True,serial,0.13807047899899771,0.009420750495961588,1.0,0.0,1.0,0.0,1.0,59.65717540700975,0.0,0.0,0.0
monte_carlo_pi,naive,3,True,naive,0.04774047866643135,0.0010274670501306611,3.022826979250064,0.05368831583188574,0.04768274469876066,0.0017643592655830597,16.0,384.1684116891378,0.000554825766154067,0.323544848089855,82.96560597798606
monte_carlo_pi,optimized,3,True,optimized,0.0442729659989709,0.0025065199694967273,3.2638896346926636,0.12970181377392243,0.0477377266053516,0.0017671811747185227,4.0,388.46657431127954,0.00047593750675813936,0.22684268148331033,82.86890381137951
monte_carlo_pi,serial,3,True,serial,0.14428617000157828,0.0023490859500256375,1.0,0.0,1.0,0.0,1.0,96.59320168203907,0.0,0.0,0.0
pairwise_distance,naive,3,True,naive,0.03904301533354252,0.0028763600684559836,0.7789901563971249,0.0804411824812747,0.0100391676342723,0.0007289738857420479,16.0,495.57568814657117,0.011183007434701908,4.173720559941043,398.90530024916893
pairwise_distance,optimized,3,True,optimized,0.027772320332587697,0.0010423563181716307,1.0918191416968688,0.0840866140276231,0.010076491533771131,0.0007283802256041342,4.0,393.34878456044044,0.01949567670762935,2.6787805597987493,397.4103602490266
pairwise_distance,serial,3,True,serial,0.030275748665493058,0.0016336528192730738,1.0,0.0,1.0,0.0,1.0,100.85662279861673,0.0,0.0,0.0
prime_count,naive,3,True,naive,0.12098396433430025,0.001861972956512417,3.39663785765822,0.07779984691376907,0.13255770916940313,0.004192740341046818,32.0,404.33988157186485,0.00025631099286897214,0.17804305853364347,29.19581068629618
prime_count,optimized,3,True,optimized,0.11680849766707979,0.002894176074483023,3.5181515157050853,0.05343254040779563,0.13273527587799036,0.004149883339539177,6.666666666666667,382.99508443808577,0.0001620812006258287,0.1371368445212925,29.15490447228383
prime_count,serial,3,True,serial,0.4108494249994692,0.004230090488313633,1.0,0.0,1.0,0.0,1.0,97.68066751367212,0.0,0.0,0.0
tiny_tasks,naive,3,True,naive,0.46133427033297875,0.05391559798865398,0.25515327179308656,0.016000753477892486,0.03406552419861178,0.0025401371206699047,2000.0,453.93736425013975,0.0019517719767564565,14.717504297614951,116.86059406272408
tiny_tasks,optimized,3,True,optimized,0.03805773199928808,0.003710610867126115,3.086923359701055,0.15013758950295938,0.038882975200232574,0.0034969701391773097,9.333333333333334,377.40933801270177,0.001114049194694654,0.297860438434234,102.44095020354335
tiny_tasks,serial,3,True,serial,0.11727173866650749,0.009774097217357098,1.0,0.0,1.0,0.0,1.0,97.01809488781491,0.0,0.0,0.0
word_count,naive,3,True,naive,0.01916475099884944,0.0007623281325612188,1.287671654990077,0.1222786150589012,0.008218244818179716,0.0006467019136191148,32.0,420.79099643776,0.012788494976869557,2.125565729828177,487.8355962413691
word_count,optimized,3,True,optimized,0.016330720999879606,0.0010509007943439598,1.5080951754579932,0.0379192052253106,0.008225810069857576,0.0006439501575768596,4.0,350.44574278267214,0.030531788562221485,1.653458157214903,487.3634886687559
word_count,serial,3,True,serial,0.02461578599953403,0.0013813332960117039,1.0,0.0,1.0,0.0,1.0,106.80230391140043,0.0,0.0,0.0
