workload,runs,selected_speedup_mean,selected_speedup_stdev,fixed_speedup_mean,fixed_speedup_stdev,selected_over_fixed_mean,selected_over_fixed_stdev,selected_regression_rate,fixed_regression_rate,serial_selection_rate,scale_confirmation_rate,scale_rescue_rate,search_wall_seconds_mean
large_payload,3,1.0,0.0,0.44914533886547686,0.02477216368025632,2.2309895217822757,0.12349964352230376,0.0,1.0,1.0,1.0,0.0,5.263890700000047
load_imbalance,3,1.1411577593485076,0.14327422411492155,0.8687957122671813,0.067656770312157,1.3146868653110235,0.1436970733134664,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,8.516816433333588
mandelbrot,3,1.0,0.0,0.8496345800422946,0.05087439825782145,1.1798284245796886,0.0714797697954572,0.0,1.0,1.0,1.0,0.0,11.147609433332642
monte_carlo,3,1.2341489278129023,0.04142008025553445,1.2341489278129023,0.04142008025553445,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.712534133332762
pairwise_distance,3,1.0,0.0,0.6320535130060353,0.05055178928090737,1.588620356659713,0.12145209255128363,0.0,1.0,1.0,1.0,0.0,10.8226182999994
prime_count,3,2.110880222855472,0.028268373148001028,2.110880222855472,0.028268373148001028,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,8.530360233333946
tiny_tasks,3,1.0,0.0,1.0062099584342592,0.005701369225386926,0.9938495710834374,0.0056132867796613905,0.0,0.0,1.0,1.0,0.0,5.497530533333095
word_count,3,1.0,0.0,0.5716946924415761,0.013390616774529393,1.749818333846625,0.04053564861539484,0.0,1.0,1.0,1.0,0.0,5.9634783999996825
