benchmark,scale,mode,selected_mode,workers,task_count,warm_runtime_seconds,cold_start_seconds,total_runtime_seconds,total_runtime_iqr_seconds,cpu_mean_percent,warm_speedup,total_speedup,first_use_total_runtime_seconds,first_use_speedup,correct,input_serialized_bytes,input_serialization_seconds,output_serialized_bytes,output_serialization_seconds,serialization_to_runtime_ratio
prime_count,large,serial,serial,1,1,0.4160297639973578,0.0,0.4160297639973578,0.009135058997344458,100.38541193102677,1.0,1.0,0.4160297639973578,1.0,True,0,0.0,0,0.0,0.0
prime_count,large,naive,naive,4,32,0.12282417599999462,0.0,0.12282417599999462,0.005960976002825191,408.17531019203733,3.387197680018436,3.387197680018436,3.4584364059992367,0.12029417781853226,True,864,1.680200148257427e-05,576,1.3524000678444281e-05,0.00024138569695513187
prime_count,large,optimized,optimized,4,8,0.11897339999995893,0.0,0.11897339999995893,0.0007437009990098886,381.03172885420605,3.496830081324913,3.496830081324913,3.454585629999201,0.12042826797651388,True,512,1.2822001735912636e-05,224,8.150000212481245e-06,0.00016895373840190942
mandelbrot,large,serial,serial,1,1,0.1413095549978607,0.0,0.1413095549978607,0.0035720559972105548,68.89808856992504,1.0,1.0,0.1413095549978607,1.0,True,0,0.0,0,0.0,0.0
mandelbrot,large,naive,naive,4,96,0.0636940849981329,0.0,0.0636940849981329,0.005410890000348445,402.8573384806865,2.2185663708333827,2.2185663708333827,3.399306314997375,0.041570115165678975,True,2016,2.764799864962697e-05,165792,0.00040672599789104424,0.0068330834343928
mandelbrot,large,optimized,optimized,4,32,0.0492524700021022,0.0,0.0492524700021022,0.002480048999132123,310.72098430881977,2.8690856517821195,2.8690856517821195,3.3848647000013443,0.04174747516431146,True,1088,1.8527000065660104e-05,159104,0.0002501090020814445,0.005435524268744604
tiny_tasks,large,serial,serial,1,1,0.11235973300063051,0.0,0.11235973300063051,0.007223084001452662,103.59883862942829,1.0,1.0,0.11235973300063051,1.0,True,0,0.0,0,0.0,0.0
tiny_tasks,large,naive,naive,4,2000,0.39279155300027924,0.0,0.39279155300027924,0.04990316000112216,435.8575648016031,0.28605435158263354,0.28605435158263354,3.7284037829995214,0.03013614928537501,True,35744,0.0004417400014062878,40000,0.0004262649999873247,0.002155578435316463
tiny_tasks,large,optimized,optimized,4,8,0.03683857199939666,0.0,0.03683857199939666,0.003752880002139136,375.40183863121746,3.0500566906467146,3.0500566906467146,3.372450801998639,0.033316937621163216,True,5872,1.9500999769661576e-05,10128,2.385000334470533e-05,0.0011960561873304147
word_count,large,serial,serial,1,1,0.022903638000570936,0.0,0.022903638000570936,0.0010952929987979587,101.09138727829888,1.0,1.0,0.022903638000570936,1.0,True,0,0.0,0,0.0,0.0
