benchmark,scale,mode,selected_mode,workers,task_count,warm_runtime_seconds,cold_start_seconds,total_runtime_seconds,total_runtime_iqr_seconds,cpu_mean_percent,warm_speedup,total_speedup,first_use_total_runtime_seconds,first_use_speedup,correct,input_serialized_bytes,input_serialization_seconds,output_serialized_bytes,output_serialization_seconds,serialization_to_runtime_ratio
prime_count,large,serial,serial,1,1,0.4222114629992575,0.0,0.4222114629992575,0.013171989001421025,98.31986791203164,1.0,1.0,0.4222114629992575,1.0,True,0,0.0,0,0.0,0.0
prime_count,large,naive,naive,4,32,0.13086868200116442,0.0,0.13086868200116442,0.005775503999757348,398.63222639121176,3.226222321055398,3.226222321055398,3.188726096002938,0.13240756662307834,True,864,5.0449001719243824e-05,576,1.5669000276830047e-05,0.0004987595471911237
prime_count,large,optimized,optimized,4,8,0.13436810600251192,0.0,0.13436810600251192,0.007182925000961404,387.5551712820108,3.1422000023678573,3.1422000023678573,3.1922255200042855,0.13226241703583982,True,512,1.3855998986400664e-05,224,1.0127001587534323e-05,0.00018470154476414466
mandelbrot,large,serial,serial,1,1,0.1485973240014573,0.0,0.1485973240014573,0.010960931998852175,62.1830694461756,1.0,1.0,0.1485973240014573,1.0,True,0,0.0,0,0.0,0.0
mandelbrot,large,naive,naive,4,96,0.07916715700048371,0.0,0.07916715700048371,0.009700381000584457,398.4411109255692,1.877007203890742,1.877007203890742,3.1370245710022573,0.04736887475318101,True,2016,3.2351003028452396e-05,165792,0.0004898279985354748,0.006578106598129366
mandelbrot,large,optimized,optimized,4,32,0.053007048001745716,0.0,0.053007048001745716,0.0029569000034825876,268.54136834281564,2.803350301578074,2.803350301578074,3.1108644620035193,0.04776721255986665,True,1088,1.8999999156221747e-05,159104,0.00030180500107235275,0.006058835834625672
tiny_tasks,large,serial,serial,1,1,0.1343705420003971,0.0,0.1343705420003971,0.01820225900155492,91.92790659126707,1.0,1.0,0.1343705420003971,1.0,True,0,0.0,0,0.0,0.0
tiny_tasks,large,naive,naive,4,2000,0.4692701810017752,0.0,0.4692701810017752,0.05206478699983563,433.50608295795325,0.2863393998603308,0.2863393998603308,3.5271275950035488,0.03809630878983325,True,35744,0.0004984999977750704,40000,0.0005555950010602828,0.0022716700129640425
tiny_tasks,large,optimized,optimized,4,8,0.03920731499965768,0.0,0.03920731499965768,0.004289337000955129,395.48227953335584,3.427180412674785,3.427180412674785,3.0970647290014313,0.043386417061977725,True,5872,2.614200275274925e-05,10128,2.593200042610988e-05,0.0012485681049200998
word_count,large,serial,serial,1,1,0.02434534400163102,0.0,0.02434534400163102,0.0006010159959259909,87.9636549641504,1.0,1.0,0.02434534400163102,1.0,True,0,0.0,0,0.0,0.0
