workload,run,size,tuning_size,preliminary_selected_label,confirmation_used,confirmation_passed,selected_label,selected_speedup,no_scale_speedup,fixed_speedup,selected_over_no_scale,selected_over_fixed,selected_regression,no_scale_regression,fixed_regression,search_wall_seconds,small_sample_search_wall_seconds,scale_confirmation_wall_seconds,break_even_vs_serial_repetitions,break_even_vs_fixed_repetitions
large_payload,run_01,32,8,serial,True,False,serial,1.0,1.0,0.4936478954053476,1.0,2.0257353658499304,False,False,True,5.976339699998789,4.65660619999835,1.3197335000004387,,44
large_payload,run_02,32,8,serial,True,False,serial,1.0,1.0,0.486439935884468,1.0,2.0557522650391626,False,False,True,5.276508599999943,4.111520999998902,1.1649876000010408,,46
large_payload,run_03,32,8,serial,True,False,serial,1.0,1.0,0.5045235839057136,1.0,1.9820678991031706,False,False,True,5.523602400000527,4.340657000000647,1.1829453999998805,,47
load_imbalance,run_01,64,16,serial,True,True,w4_c16,1.2775899533206914,1.0,0.7807610430990797,1.2775899533206914,1.6363392674531319,False,False,True,7.767927599998075,5.395336099998531,2.372591499999544,93,41
load_imbalance,run_02,64,16,serial,True,False,serial,1.0,1.0,0.8165480086341016,1.0,1.2246677346905441,False,False,True,7.802504499999486,5.3122535000002244,2.4902509999992617,,88
load_imbalance,run_03,64,16,serial,True,True,w2_c8,1.0681052752957896,1.0,0.8094682863877599,1.0681052752957896,1.31951466568529,False,False,True,7.707310400001006,5.2425552000022435,2.4647551999987627,310,66
mandelbrot,run_01,96,24,serial,True,False,serial,1.0,1.0,0.8346438797129255,1.0,1.1981157764482122,False,False,True,11.838144999997894,8.567592699997476,3.2705523000004177,,132
mandelbrot,run_02,96,24,serial,True,False,serial,1.0,1.0,0.8404295002322839,1.0,1.189867799409246,False,False,True,12.150835500004177,8.738010200002464,3.412825300001714,,137
mandelbrot,run_03,96,24,serial,True,False,serial,1.0,1.0,0.7395036535392089,1.0,1.3522583630440161,False,False,True,14.292887699997664,10.227705499997683,4.065182199999981,,82
monte_carlo,run_01,16,4,serial,True,False,serial,1.0,1.0,1.1994292299347096,1.0,0.8337298900531502,False,False,False,8.044587399999727,5.6041130000012345,2.440474399998493,,
monte_carlo,run_02,16,4,serial,True,True,w4_c4,1.2116632937509733,1.0,1.2116632937509733,1.2116632937509733,1.0,False,False,False,7.812938200000644,5.438624999998865,2.3743132000017795,119,
monte_carlo,run_03,16,4,serial,True,True,w4_c4,1.2109594464800406,1.0,1.2109594464800406,1.2109594464800406,1.0,False,False,False,7.127164300000004,5.014226700001018,2.112937599998986,109,
pairwise_distance,run_01,16,4,serial,True,False,serial,1.0,1.0,0.6227022039256642,1.0,1.6059040640867495,False,False,True,12.937425700001768,9.651845200001844,3.2855804999999236,,64
pairwise_distance,run_02,16,4,serial,True,False,serial,1.0,1.0,0.6158044497407996,1.0,1.623892130725774,False,False,True,11.908409200001188,8.683663600000727,3.2247456000004604,,59
pairwise_distance,run_03,16,4,serial,True,False,serial,1.0,1.0,0.6338364229870944,1.0,1.5776941238044964,False,False,True,11.111860600001819,8.240606300001673,2.871254300000146,,64
prime_count,run_01,32,8,serial,True,True,w4_c4,1.923110460466741,1.0,1.923110460466741,1.923110460466741,1.0,False,False,False,9.124809199998708,6.474911699999211,2.649897499999497,23,
prime_count,run_02,32,8,serial,True,True,w4_c4,1.9622573793197613,1.0,1.9622573793197613,1.9622573793197613,1.0,False,False,False,10.145038300001033,6.538522900002135,3.606515399998898,24,
prime_count,run_03,32,8,serial,True,True,w4_c4,1.9343061838470956,1.0,1.9343061838470956,1.9343061838470956,1.0,False,False,False,10.017455199998949,6.436606300001586,3.5808488999973633,24,
tiny_tasks,run_01,2000,200,serial,True,False,serial,1.0,1.0,1.015715207997884,1.0,0.9845279386641648,False,False,False,6.7858153999986826,4.912853800000448,1.8729615999982343,,
tiny_tasks,run_02,2000,200,serial,True,False,serial,1.0,1.0,0.939066179046892,1.0,1.0648876749186653,False,False,True,7.290051500003756,5.178437500002474,2.111614000001282,,364
tiny_tasks,run_03,2000,200,serial,True,False,serial,1.0,1.0,0.9309503014301048,1.0,1.0741711973924093,False,False,True,6.266622000002826,4.345725900002435,1.920896100000391,,312
word_count,run_01,32,8,serial,True,False,serial,1.0,1.0,0.5814199653861024,1.0,1.7199271774850937,False,False,True,6.379379199999676,4.834956700000475,1.5444224999992002,,53
word_count,run_02,32,8,serial,True,False,serial,1.0,1.0,0.5367168931822993,1.0,1.8631796626910784,False,False,True,6.050997900001676,4.612588100000721,1.4384098000009544,,46
word_count,run_03,32,8,serial,True,False,serial,1.0,1.0,0.5882339973308282,1.0,1.7000037477221688,False,False,True,5.633554500003811,4.262651100001676,1.3709034000021347,,55
