workload,runs,selected_speedup_mean,selected_speedup_stdev,no_scale_speedup_mean,no_scale_speedup_stdev,fixed_speedup_mean,fixed_speedup_stdev,selected_over_fixed_mean,selected_over_fixed_stdev,selected_regression_rate,no_scale_regression_rate,fixed_regression_rate,serial_selection_rate,scale_confirmation_rate,scale_rescue_rate,search_wall_seconds_mean
large_payload,3,1.0,0.0,1.0,0.0,0.49487047173184306,0.0091036037421812,2.021185176664088,0.03705232262716488,0.0,0.0,1.0,1.0,1.0,0.0,5.592150233333086
load_imbalance,3,1.1152317428721603,0.14467108731815057,1.0,0.0,0.8022591127069804,0.018951407979908637,1.3935072226096554,0.21557953655653095,0.0,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,7.759247499999522
mandelbrot,3,1.0,0.0,1.0,0.0,0.8048590111614727,0.05667327790633792,1.246747312967158,0.09146826524838965,0.0,0.0,1.0,1.0,1.0,0.0,12.760622733333244
monte_carlo,3,1.1408742467436712,0.12200118399811859,1.0,0.0,1.2073506567219079,0.006869177680327262,0.9445766300177167,0.09599609273600239,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,7.661563300000125
pairwise_distance,3,1.0,0.0,1.0,0.0,0.6241143588845194,0.009098552138095232,1.60249677287234,0.02328671694205627,0.0,0.0,1.0,1.0,1.0,0.0,11.985898500001591
prime_count,3,1.9398913412111993,0.020162237004052633,1.0,0.0,1.9398913412111993,0.020162237004052633,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.762434233332897
tiny_tasks,3,1.0,0.0,1.0,0.0,0.9619105628249603,0.04677255337279366,1.0411956036584131,0.0492946664387274,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,6.780829633335088
word_count,3,1.0,0.0,1.0,0.0,0.5687902852997433,0.02798454250609475,1.7610368626327801,0.08901741102835807,0.0,0.0,1.0,1.0,1.0,0.0,6.021310533335054
