benchmark,scale,mode,selected_mode,workers,task_count,warm_runtime_seconds,cold_start_seconds,total_runtime_seconds,total_runtime_iqr_seconds,cpu_mean_percent,warm_speedup,total_speedup,first_use_total_runtime_seconds,first_use_speedup,correct,input_serialized_bytes,input_serialization_seconds,output_serialized_bytes,output_serialization_seconds,serialization_to_runtime_ratio
prime_count,large,serial,serial,1,1,0.415335073001188,0.0,0.415335073001188,0.0035881590010831133,104.45020968298368,1.0,1.0,0.415335073001188,1.0,True,0,0.0,0,0.0,0.0
prime_count,large,naive,naive,4,32,0.12330775699956575,0.0,0.12330775699956575,0.0032507710020581726,409.3466048337908,3.368280172371075,3.368280172371075,3.3133539200025552,0.12535185888046263,True,864,1.776999852154404e-05,576,1.3897999451728538e-05,0.00027021817349035595
prime_count,large,optimized,optimized,4,4,0.11663357100042049,0.0,0.11663357100042049,0.003655966003861977,337.58470558814344,3.561025092849902,3.561025092849902,3.30667973400341,0.12560486845163568,True,448,1.2540000170702115e-05,160,7.070997526170686e-06,0.00016965955640406227
mandelbrot,large,serial,serial,1,1,0.13539942799980054,0.0,0.13539942799980054,0.0005159089996595867,63.00493712047984,1.0,1.0,0.13539942799980054,1.0,True,0,0.0,0,0.0,0.0
mandelbrot,large,naive,naive,4,96,0.06069069099976332,0.0,0.06069069099976332,0.0013075169990770519,405.23922761232035,2.230975224854971,2.230975224854971,3.250736854002753,0.04165191895895178,True,2016,2.303200017195195e-05,165792,0.00035510800080373883,0.006233361144600381
mandelbrot,large,optimized,optimized,4,4,0.06526094900254975,0.0,0.06526094900254975,0.0016060849957284518,210.61736358262914,2.074738876299676,2.074738876299676,3.2553071120055392,0.041593442136518805,True,640,1.1721000191755593e-05,156136,0.00018569799794931896,0.0030250709062376855
tiny_tasks,large,serial,serial,1,1,0.11374199100100668,0.0,0.11374199100100668,0.0017111859997385181,91.73511527530763,1.0,1.0,0.11374199100100668,1.0,True,0,0.0,0,0.0,0.0
tiny_tasks,large,naive,naive,4,2000,0.3416702550021,0.0,0.3416702550021,0.007101862000126857,409.5748561457202,0.3328998920327659,0.3328998920327659,3.5317164180050895,0.0322058674986296,True,35744,0.00041060399962589145,40000,0.0004201060000923462,0.0024414094894585543
tiny_tasks,large,optimized,optimized,4,4,0.034761633000016445,0.0,0.034761633000016445,0.0004218030007905327,380.4386625152671,3.2720554584116597,3.2720554584116597,3.224807796003006,0.03527093650107904,True,5808,1.4678000297863036e-05,10064,2.0596999092958868e-05,0.0010262464364787012
word_count,large,serial,serial,1,1,0.022351732000970514,0.0,0.022351732000970514,0.00024677300098119304,96.77536982300198,1.0,1.0,0.022351732000970514,1.0,True,0,0.0,0,0.0,0.0
