benchmark,scale,mode,selected_mode,workers,task_count,warm_runtime_seconds,cold_start_seconds,total_runtime_seconds,total_runtime_iqr_seconds,cpu_mean_percent,warm_speedup,total_speedup,first_use_total_runtime_seconds,first_use_speedup,correct,input_serialized_bytes,input_serialization_seconds,output_serialized_bytes,output_serialization_seconds,serialization_to_runtime_ratio
prime_count,large,serial,serial,1,1,0.4106969670028775,0.0,0.4106969670028775,0.0074864729976980016,95.11961180889297,1.0,1.0,0.4106969670028775,1.0,True,0,0.0,0,0.0,0.0
prime_count,large,naive,naive,4,32,0.13079188399933628,0.0,0.13079188399933628,0.006529107002279488,401.25548754046173,3.1400799074425874,3.1400799074425874,3.1162265919992933,0.1317930371486191,True,864,1.7431000742362812e-05,576,1.5609999536536634e-05,0.000264481254905505
prime_count,large,optimized,optimized,4,8,0.1249028959973657,0.0,0.1249028959973657,0.0017503720009699464,383.43068730669097,3.2881300607436628,3.2881300607436628,3.1103376039973227,0.13204256877937004,True,512,1.1826999980257824e-05,224,9.799001418286934e-06,0.00017268613138538713
mandelbrot,large,serial,serial,1,1,0.14707993100091699,0.0,0.14707993100091699,0.005777699996542651,96.01284583277878,1.0,1.0,0.14707993100091699,1.0,True,0,0.0,0,0.0,0.0
mandelbrot,large,naive,naive,4,96,0.07069500799843809,0.0,0.07069500799843809,0.0008400690021517221,386.4902740165113,2.080485385957754,2.080485385957754,3.056129715998395,0.048126206891996405,True,2016,3.189200288034044e-05,165792,0.00045745600073132664,0.006921959802628194
mandelbrot,large,optimized,optimized,4,32,0.05247201000020141,0.0,0.05247201000020141,0.002496020002581645,311.4183615047058,2.803016903685459,2.803016903685459,3.0379067180001584,0.04841489375873236,True,1088,1.871400309028104e-05,159104,0.00028623799880733714,0.0057942510464263205
tiny_tasks,large,serial,serial,1,1,0.12690022799870349,0.0,0.12690022799870349,0.007048465999105247,430.5605957303543,1.0,1.0,0.12690022799870349,1.0,True,0,0.0,0,0.0,0.0
tiny_tasks,large,naive,naive,4,2000,0.4449872850018437,0.0,0.4449872850018437,0.018279279000125825,437.49331718094015,0.28517720005904823,0.28517720005904823,3.4304219930018007,0.03699259981937647,True,35744,0.0005082249990664423,40000,0.000530649002030259,0.002263565802223641
tiny_tasks,large,optimized,optimized,4,16,0.042050768999615684,0.0,0.042050768999615684,0.002934857002401259,423.74309475882427,3.017786143218053,3.017786143218053,3.0274854769995727,0.04191604847084834,True,6000,2.289500116603449e-05,10256,2.6970003091264516e-05,0.0011869937635701525
word_count,large,serial,serial,1,1,0.02401100899805897,0.0,0.02401100899805897,0.0009202149994962383,97.19228032881426,1.0,1.0,0.02401100899805897,1.0,True,0,0.0,0,0.0,0.0
