workload,runs,measured_pairs,generation_failure_rate,template_correct_rate,llm_correct_rate,template_speedup_mean,llm_speedup_mean,llm_over_template_mean,llm_over_template_stdev,llm_win_rate,model_calls_total,tokens_total,llm_generation_calls_total,llm_generation_tokens_total,llm_generation_cost_upper_usd_total,estimated_cost_upper_usd_total
pairwise_distance,3,2,0.3333333333333333,1.0,0.6666666666666666,0.6246458244322202,0.6413723319472973,1.0267463367501741,0.022241396980746474,1.0,13,12359,7,6451,0.00362964,0.00700713
prime_count,3,3,0.0,1.0,1.0,1.9811740384077343,2.011561319000812,1.0156786046759025,0.019819487413481336,1.0,11,9253,5,4101,0.002292015,0.00509539
tiny_tasks,3,3,0.0,1.0,1.0,0.9668077917075296,0.9648106204689039,0.9978212455562261,0.008986991670221949,0.3333333333333333,11,10089,5,3891,0.002221545,0.006014315
word_count,3,3,0.0,1.0,1.0,0.5329667196049274,0.5544479475354617,1.042277703504911,0.053594496436517244,1.0,9,8872,3,2535,0.001345455,0.005129505
